club,alias_api_football,paese,competizione,fascia,coefficiente
Paris Saint-Germain,Paris Saint Germain,FRA,UCL,1,132.000
Bayern Munich,Bayern München,GER,UCL,1,147.500
Real Madrid,Real Madrid,ESP,UCL,1,144.500
Liverpool,Liverpool,ENG,UCL,1,130.000
Inter,Inter,ITA,UCL,1,127.000
Manchester City,Manchester City,ENG,UCL,1,125.500
Arsenal,Arsenal,ENG,UCL,1,119.000
Barcelona,Barcelona,ESP,UCL,1,113.250
Atletico Madrid,Atletico Madrid,ESP,UCL,1,104.750
Borussia Dortmund,Borussia Dortmund,GER,UCL,2,100.750
Roma,AS Roma,ITA,UCL,2,97.750
Sporting CP,Sporting CP,POR,UCL,2,84.000
Aston Villa,Aston Villa,ENG,UCL,2,83.000
Porto,FC Porto,POR,UCL,2,80.750
Manchester United,Manchester United,ENG,UCL,2,76.500
Club Brugge,Club Brugge KV,BEL,UCL,2,75.250
Real Betis,Real Betis,ESP,UCL,2,74.500
PSV Eindhoven,PSV Eindhoven,NED,UCL,2,71.250
Feyenoord,Feyenoord,NED,UCL,3,71.000
Lille,Lille,FRA,UCL,3,68.750
Bodo/Glimt,Bodo/Glimt,NOR,UCL,3,64.000
Napoli,Napoli,ITA,UCL,3,63.000
RB Leipzig,RB Leipzig,GER,UCL,3,61.000
Villarreal,Villarreal,ESP,UCL,3,59.000
Fenerbahce,Fenerbahce,TUR,UCL,3,57.750
Shakhtar Donetsk,Shakhtar Donetsk,UKR,UCL,3,56.250
Galatasaray,Galatasaray,TUR,UCL,3,53.500
Slavia Praha,Slavia Praha,CZE,UCL,4,44.000
Slovan Bratislava,Slovan Bratislava,SVK,UCL,4,36.000
VfB Stuttgart,VfB Stuttgart,GER,UCL,4,27.500
AEK Athens,AEK Athens FC,GRE,UCL,4,24.000
LASK,LASK Linz,AUT,UCL,4,21.000
Como,Como,ITA,UCL,4,19.989
Lens,Lens,FRA,UCL,4,16.699
Viking,Viking,NOR,UCL,4,8.247
Sabah,Sabah,AZE,UCL,4,6.000
Bayer Leverkusen,Bayer Leverkusen,GER,UEL,1,105.000
Benfica,Benfica,POR,UEL,1,90.000
Juventus,Juventus,ITA,UEL,1,72.250
Milan,AC Milan,ITA,UEL,1,66.000
Lyon,Lyon,FRA,UEL,1,65.750
AZ Alkmaar,AZ Alkmaar,NED,UEL,1,62.875
Olympiacos,Olympiakos Piraeus,GRE,UEL,1,62.250
Real Sociedad,Real Sociedad,ESP,UEL,1,57.000
Marseille,Marseille,FRA,UEL,1,54.000
Ferencvaros,Ferencvarosi TC,HUN,UEL,2,51.250
Viktoria Plzen,Plzen,CZE,UEL,2,50.500
Union Saint-Gilloise,Union St. Gilloise,BEL,UEL,2,48.000
Dinamo Zagreb,Dinamo Zagreb,CRO,UEL,2,46.500
Red Bull Salzburg,Red Bull Salzburg,AUT,UEL,2,45.000
Celtic,Celtic,SCO,UEL,2,44.000
Sparta Praha,Sparta Praha,CZE,UEL,2,38.250
Rennes,Rennes,FRA,UEL,2,35.000
Anderlecht,Anderlecht,BEL,UEL,2,30.750
Sturm Graz,Sturm Graz,AUT,UEL,3,28.000
Lech Poznan,Lech Poznan,POL,UEL,3,27.250
Crystal Palace,Crystal Palace,ENG,UEL,3,23.903
Bournemouth,Bournemouth,ENG,UEL,3,23.903
Sunderland,Sunderland,ENG,UEL,3,23.903
Celje,Celje,SVN,UEL,3,23.000
Jagiellonia Bialystok,Jagiellonia,POL,UEL,3,22.000
Omonia Nicosia,Omonia Nicosia,CYP,UEL,3,21.250
Celta Vigo,Celta Vigo,ESP,UEL,3,19.409
TSG Hoffenheim,1899 Hoffenheim,GER,UEL,4,18.580
Besiktas,Besiktas,TUR,UEL,4,15.500
Torreense,Torreense,POR,UEL,4,14.633
Hapoel Beer Sheva,Hapoel Beer Sheva,ISR,UEL,4,14.000
