club,alias_api_football,paese,competizione,fascia,coefficiente,team_id
Paris Saint-Germain,Paris Saint Germain,FRA,UCL,1,132.000,85
Bayern Munich,Bayern München,GER,UCL,1,147.500,157
Real Madrid,Real Madrid,ESP,UCL,1,144.500,541
Liverpool,Liverpool,ENG,UCL,1,130.000,40
Inter,Inter,ITA,UCL,1,127.000,505
Manchester City,Manchester City,ENG,UCL,1,125.500,50
Arsenal,Arsenal,ENG,UCL,1,119.000,42
Barcelona,Barcelona,ESP,UCL,1,113.250,529
Atletico Madrid,Atletico Madrid,ESP,UCL,1,104.750,530
Borussia Dortmund,Borussia Dortmund,GER,UCL,2,100.750,165
Roma,AS Roma,ITA,UCL,2,97.750,497
Sporting CP,Sporting CP,POR,UCL,2,84.000,228
Aston Villa,Aston Villa,ENG,UCL,2,83.000,66
Porto,FC Porto,POR,UCL,2,80.750,212
Manchester United,Manchester United,ENG,UCL,2,76.500,33
Club Brugge,Club Brugge KV,BEL,UCL,2,75.250,569
Real Betis,Real Betis,ESP,UCL,2,74.500,543
PSV Eindhoven,PSV Eindhoven,NED,UCL,2,71.250,197
Feyenoord,Feyenoord,NED,UCL,3,71.000,209
Lille,Lille,FRA,UCL,3,68.750,79
Bodo/Glimt,Bodo/Glimt,NOR,UCL,3,64.000,327
Napoli,Napoli,ITA,UCL,3,63.000,492
RB Leipzig,RB Leipzig,GER,UCL,3,61.000,173
Villarreal,Villarreal,ESP,UCL,3,59.000,533
Fenerbahce,Fenerbahce,TUR,UCL,3,57.750,611
Shakhtar Donetsk,Shakhtar Donetsk,UKR,UCL,3,56.250,550
Galatasaray,Galatasaray,TUR,UCL,3,53.500,645
Slavia Praha,Slavia Praha,CZE,UCL,4,44.000,560
Slovan Bratislava,Slovan Bratislava,SVK,UCL,4,36.000,656
VfB Stuttgart,VfB Stuttgart,GER,UCL,4,27.500,172
AEK Athens,AEK Athens FC,GRE,UCL,4,24.000,575
LASK,LASK Linz,AUT,UCL,4,21.000,1026
Como,Como,ITA,UCL,4,19.989,895
Lens,Lens,FRA,UCL,4,16.699,116
Viking,Viking,NOR,UCL,4,8.247,759
Sabah,Sabah,AZE,UCL,4,6.000,13976
Bayer Leverkusen,Bayer Leverkusen,GER,UEL,1,105.000,168
Benfica,Benfica,POR,UEL,1,90.000,211
Juventus,Juventus,ITA,UEL,1,72.250,496
